,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_id,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
63,0.814,147.193,0.673,rock,-5.411,0.343,0.728,4,0.0367,70,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,1982-01-01,0.00293,1,9,252200,0.0134,classic
64,0.767,127.361,0.532,rock,-5.509,0.39,0.755,4,0.0574,81,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,1980-07-25,0.000513,1,7,210173,0.00287,classic
65,0.863,136.302,0.723,rock,-7.89,0.128,0.931,4,0.0338,76,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,1965-07-30,0.0317,1,2,222813,0.0383,classic
66,0.449,100.456,0.486,rock,-10.298,0.54,0.549,4,0.0267,76,0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,1972-06-06,2.23e-06,1,5,254293,0.166,classic
67,0.902,89.74,0.412,rock,-11.6,0.405,0.422,4,0.405,72,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,1969-10-22,0.131,1,9,333893,0.0484,classic
68,0.722,103.886,0.55,rock,-11.729,0.11,0.716,4,0.0283,70,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,1971-04-19,0.0129,0,11,434720,0.25,classic
69,0.944,105.338,0.394,rock,-6.506,0.298,0.265,4,0.0761,77,6QewNVIDKdSl8Y3ycuHIei,Even Flow,1991-08-27,4.54e-06,0,10,292581,0.00178,classic
70,0.952,122.093,0.398,rock,-6.042,0.1,0.584,4,0.061,72,0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,1984-06-04,7.75e-05,1,4,278680,0.000373,classic
71,0.917,171.176,0.356,rock,-6.006,0.406,0.518,4,0.0479,79,57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,1997-09-29,0.0,1,9,357267,0.0335,classic
72,0.589,124.634,0.455,rock,-8.64,0.104,0.254,4,0.0328,75,2N2yrmodOnVF10mKvItC9P,Don't Cry (Original),1991-09-17,0.00358,1,11,283733,0.00184,classic
